,bat,runs,balls,dismissals,avg,rpo
399,Regis Chakabva,25,18,,,8.33
7,Abdool Samad,25,30,3.0,8.33,5.0
462,Shreyas Iyer,25,26,2.0,12.5,5.77
496,Tim Paine,24,33,,,4.36
494,Thilina Kandamby,24,25,1.0,24.0,5.76
161,Gavin Hamilton,24,13,,,11.08
147,Ed Joyce,24,13,1.0,24.0,11.08
441,Sewnarine Chattergoon,23,22,1.0,23.0,6.27
272,Lendl Simmons,23,30,,,4.6
408,Robin Peterson,23,17,,,8.12
136,Dhananjaya de Silva,22,16,1.0,22.0,8.25
109,Craig Ervine,22,10,,,13.2
450,Shamsur Rahman,22,13,,,10.15
371,Paul Collingwood,22,14,1.0,22.0,9.43
528,Xavier Marshall,21,13,,,9.69
141,Divan la Cock,21,12,,,10.5
337,Monank Patel,21,17,,,7.41
445,Shahzaib Hasan,21,9,,,14.0
330,Mohammad Naim,21,19,,,6.63
103,Clay Smith,21,10,1.0,21.0,12.6
62,Axar Patel,20,17,1.0,20.0,7.06
350,Nathan Astle,20,19,,,6.32
530,Younis Khan,20,15,,,8.0
52,Asghar Afghan,20,22,1.0,20.0,5.45
44,Anshy Rath,20,21,,,5.71
214,Janneman Malan,20,11,,,10.91
378,Phillip Hughes,20,11,1.0,20.0,10.91
430,Samit Patel,20,18,1.0,20.0,6.67
309,Mehrab Hossain jnr,20,9,,,13.33
488,Takudzwanashe Kaitano,19,9,,,12.67
509,Usman Ghani,19,11,,,10.36
137,Dilruwan Perera,19,10,,,11.4
244,Justin Kemp,19,18,1.0,19.0,6.33
95,Charlie Tear,19,13,,,8.77
380,Preston Mommsen,19,19,,,6.0
305,Matthew Wade,19,13,,,8.77
158,Gary Wilson,19,14,,,8.14
265,Kushal Malla,18,21,,,5.14
117,Daren Sammy,18,8,,,13.5
332,Mohammad Rafique,18,17,,,6.35
418,Ruturaj Gaikwad,18,12,1.0,18.0,9.0
63,Ayaan Khan,18,21,1.0,18.0,5.14
40,Andy Balbirnie,18,14,1.0,18.0,7.71
373,Peter Fulton,18,7,1.0,18.0,15.43
327,Mohammad Mithun,17,14,1.0,17.0,7.29
162,Geoff Barnett,17,28,,,3.64
429,Sam Hain,17,18,1.0,17.0,5.67
296,Marlon Samuels,17,13,1.0,17.0,7.85
250,Keshav Maharaj,17,14,1.0,17.0,7.29
180,Harry Tector,17,12,,,8.5
35,Andrew Flintoff,17,14,,,7.29
26,Alviro Petersen,16,7,,,13.71
295,Mark Vermeulen,16,8,,,12.0
196,Irfan Karim,16,9,,,10.67
96,Chirag Suri,16,15,1.0,16.0,6.4
428,Sam Billings,16,16,,,6.0
54,Ashish Bagai,16,20,2.0,8.0,4.8
139,Dinesh Chandimal,15,16,,,5.62
114,D'Arcy Short,15,12,1.0,15.0,7.5
31,Andile Phehlukwayo,15,11,1.0,15.0,8.18
111,Craig McMillan,15,8,1.0,15.0,11.25
18,Aizaz Khan,14,14,1.0,14.0,6.0
283,Luke Wright,14,7,,,12.0
389,Rajin Saleh,14,9,,,9.33
207,James Hopes,14,11,1.0,14.0,7.64
271,Lega Siaka,14,6,,,14.0
131,Desmond Chumney,14,10,2.0,7.0,8.4
97,Chris Cairns,14,11,1.0,14.0,7.64
455,Shawn Findlay,14,8,,,10.5
331,Mohammad Naveed,14,9,1.0,14.0,9.33
438,Sean Williams,13,5,,,15.6
480,Sunil Ambris,13,5,,,15.6
306,Max O'Dowd,13,21,1.0,13.0,3.71
486,Tadiwanashe Marumani,13,4,,,19.5
529,Yasir Hameed,13,6,,,13.0
422,Ryan Watson,13,6,,,13.0
312,Michael Hussey,13,9,1.0,13.0,8.67
49,Aryan Lakra,13,13,,,6.0
275,Liam Plunkett,13,3,,,26.0
386,Rahmat Shah,13,14,1.0,13.0,5.57
212,Jamie How,13,23,1.0,13.0,3.39
