,bat,runs,balls,dismissals,avg,rpo
120,Chamu Chibhabha,63,62,1.0,63.0,6.1
575,Rovman Powell,63,45,2.0,31.5,8.4
605,Saud Shakeel,63,59,2.0,31.5,6.41
193,Dwayne Smith,62,54,,,6.89
69,Asela Gunaratne,62,61,2.0,31.0,6.1
717,Tony de Zorzi,62,54,2.0,31.0,6.89
671,Sunil Ambris,61,52,1.0,61.0,7.04
555,Richie Berrington,61,69,3.0,20.33,5.3
764,Zak Crawley,61,62,1.0,61.0,5.9
770,Zunaed Siddique,60,59,4.0,15.0,6.1
157,Daren Sammy,60,46,3.0,20.0,7.83
279,Jacques Kallis,59,72,1.0,59.0,4.92
435,Michael Leask,57,27,2.0,28.5,12.67
351,Keemo Paul,57,32,1.0,57.0,10.69
60,Anshy Rath,57,51,2.0,28.5,6.71
760,Yusuf Pathan,56,38,4.0,14.0,8.84
468,Monank Patel,56,56,1.0,56.0,6.0
315,John Campbell,56,28,2.0,28.0,12.0
633,Shardul Thakur,55,38,2.0,27.5,8.68
475,Murali Vijay,55,63,1.0,55.0,5.24
413,Mark Wood,55,30,1.0,55.0,11.0
385,Lendl Simmons,55,41,1.0,55.0,8.05
743,Wahab Riaz,54,46,2.0,27.0,7.04
615,Sese Bau,52,48,2.0,26.0,6.5
759,Younis Khan,52,42,1.0,52.0,7.43
501,Nikolaas Davin,52,44,,,7.09
761,Yuvraj Singh,52,55,5.0,10.4,5.67
480,Najibullah Zadran,51,38,2.0,25.5,8.05
585,Sabbir Rahman,51,38,3.0,17.0,8.05
78,Assad Vala,51,62,2.0,25.5,4.94
310,Joe Burns,51,51,,,6.0
73,Ashton Agar,50,52,1.0,50.0,5.77
562,Rizwan Cheema,50,56,1.0,50.0,5.36
690,Teja Nidamanuru,49,28,2.0,24.5,10.5
363,Kirk Edwards,49,46,,,6.39
565,Robin Peterson,49,56,2.0,24.5,5.25
488,Nathan Ellis,49,40,2.0,24.5,7.35
132,Christopher McBride,48,43,,,6.7
311,Joe Denly,48,53,,,5.43
276,JP Kotze,47,29,1.0,47.0,9.72
318,John Mooney,47,30,2.0,23.5,9.4
4,Aaron Johnson,47,22,1.0,47.0,12.82
371,Kushal Bhurtel,47,32,1.0,47.0,8.81
489,Nathan McCullum,46,21,2.0,23.0,13.14
87,Bas Zuiderent,45,34,,,7.94
185,Dipendra Singh Airee,45,48,,,5.62
337,Kagiso Rabada,45,22,,,12.27
537,Rahmat Shah,45,59,3.0,15.0,4.58
126,Chirag Suri,44,34,1.0,44.0,7.76
624,Shaiman Anwar,44,29,1.0,44.0,9.1
55,Andy McBrine,44,43,1.0,44.0,6.14
699,Tim David,44,47,3.0,14.67,5.62
18,Afif Hossain,44,31,2.0,22.0,8.52
197,Elton Chigumbura,44,33,3.0,14.67,8.0
88,Bas de Leede,43,34,2.0,21.5,7.59
63,Aqib Ilyas,42,26,,,9.69
110,Callum Ferguson,42,39,1.0,42.0,6.46
247,Harry Brook,42,46,2.0,21.0,5.48
280,Jahurul Islam,42,41,2.0,21.0,6.15
172,Denesh Ramdin,41,28,1.0,41.0,8.79
250,Hasan Ali,41,28,2.0,20.5,8.79
467,Mominul Haque,41,39,2.0,20.5,6.31
33,Alex Cusack,41,57,1.0,41.0,4.32
737,Vijay Shankar,41,30,1.0,41.0,8.2
621,Shahriar Nafees,40,46,,,5.22
687,Tarisai Musakanda,40,27,1.0,40.0,8.89
629,Shamsur Rahman,40,35,,,6.86
66,Aryan Lakra,40,41,1.0,40.0,5.85
622,Shahzaib Hasan,40,38,1.0,40.0,6.32
8,Abdullah Shafique,39,33,,,7.09
513,Parthiv Patel,39,28,,,8.36
210,Finn Allen,39,21,,,11.14
283,James Franklin,39,17,,,13.76
522,Peter Ingram,38,52,3.0,12.67,4.38
171,Deepak Hooda,38,46,1.0,38.0,4.96
395,Lorcan Tucker,38,41,2.0,19.0,5.56
698,Tim Bresnan,38,26,4.0,9.5,8.77
48,Andre Russell,38,24,2.0,19.0,9.5
544,Rashid Khan,38,25,2.0,19.0,9.12
138,Colin de Grandhomme,37,27,2.0,18.5,8.22
603,Saqib Zulfiqar,37,23,2.0,18.5,9.65
579,Ruturaj Gaikwad,37,43,2.0,18.5,5.16
139,Collins Obuya,37,24,1.0,37.0,9.25
366,Krunal Pandya,37,44,1.0,37.0,5.05
263,Ihsanullah,37,24,,,9.25
765,Zane Green,37,18,1.0,37.0,12.33
253,Hashmatullah Shahidi,37,49,2.0,18.5,4.53
30,Albie Morkel,37,21,1.0,37.0,10.57
216,Gary Wilson,37,47,3.0,12.33,4.72
317,John Hastings,36,21,,,10.29
744,Wanindu Hasaranga,36,20,1.0,36.0,10.8
607,Scott Edwards,36,25,1.0,36.0,8.64
86,Babar Hayat,35,39,2.0,17.5,5.38
186,Divan la Cock,35,25,1.0,35.0,8.4
552,Regis Chakabva,35,44,2.0,17.5,4.77
483,Nasir Hossain,35,26,,,8.08
708,Tom Banton,35,32,2.0,17.5,6.56
451,Mohammad Ashraful,34,38,,,5.37
145,Craig Wallace,34,18,2.0,17.0,11.33
37,Alick Athanaze,34,40,1.0,34.0,5.1
393,Logan van Beek,34,18,1.0,34.0,11.33
525,Phillip Hughes,34,25,,,8.16
211,Fraser Watts,34,41,1.0,34.0,4.98
114,Carlos Brathwaite,33,28,2.0,16.5,7.07
347,Kasun Rajitha,33,32,2.0,16.5,6.19
685,Tanzid Hasan,33,16,2.0,16.5,12.38
516,Paul Collingwood,33,32,1.0,33.0,6.19
162,David Hussey,33,14,1.0,33.0,14.14
482,Narsingh Deonarine,32,28,,,6.86
287,James Taylor,32,37,1.0,32.0,5.19
236,Gus Atkinson,32,19,3.0,10.67,10.11
83,Azmatullah Omarzai,31,19,1.0,31.0,9.79
701,Tim Paine,31,38,3.0,10.33,4.89
115,Cephas Zhuwao,31,18,2.0,15.5,10.33
237,Gyanendra Malla,31,27,,,6.89
668,Stuart Thompson,31,21,1.0,31.0,8.86
298,Jason Mohammed,31,32,,,5.81
39,Alviro Petersen,30,28,1.0,30.0,6.43
463,Mohammed Qasim,30,22,,,8.18
538,Rahul Dravid,30,28,1.0,30.0,6.43
80,Axar Patel,30,23,2.0,15.0,7.83
360,Kieron Pollard,29,24,3.0,9.67,7.25
747,Wayne Parnell,29,22,1.0,29.0,7.91
