,bat,runs,balls,dismissals,avg,rpo
349,Dipendra Singh Airee,138,188,10.0,13.8,4.4
770,Marco Jansen,137,100,5.0,27.4,8.22
1341,Trent Johnston,137,103,4.0,34.25,7.98
1414,Zane Green,137,132,6.0,22.83,6.23
872,Morne Morkel,137,132,8.0,17.12,6.23
628,Joylord Gumbie,136,162,3.0,45.33,5.04
479,Hasan Ali,136,102,10.0,13.6,8.0
318,Dean Brownlie,136,153,4.0,34.0,5.33
1256,Sunil Narine,134,151,13.0,10.31,5.32
28,Adam Zampa,134,175,16.0,8.38,4.59
277,D'Arcy Short,133,155,2.0,66.5,5.15
1230,Stephan Myburgh,133,136,3.0,44.33,5.87
6,Aaron Johnson,132,113,5.0,26.4,7.01
927,Nicholas Kirton,132,177,3.0,44.0,4.47
50,Akeal Hosein,132,134,7.0,18.86,5.91
1395,Xavier Marshall,131,110,6.0,21.83,7.15
1069,Robin Peterson,131,120,5.0,26.2,6.55
252,Christopher McBride,131,165,4.0,32.75,4.76
317,Dawlat Zadran,131,78,5.0,26.2,10.08
432,Ghulam Shabber,129,129,1.0,129.0,6.0
509,Ihsanullah,127,129,4.0,31.75,5.91
151,BJ Watling,127,119,4.0,31.75,6.4
1325,Tom Blundell,127,124,3.0,42.33,6.15
1036,Ravi Rampaul,127,123,6.0,21.17,6.2
1002,Praveen Kumar,127,126,9.0,14.11,6.05
1368,Vikram Solanki,126,153,7.0,18.0,4.94
1108,Sachith Pathirana,126,131,6.0,21.0,5.77
573,Jason Mohammed,126,129,4.0,31.5,5.86
638,Kagiso Rabada,125,142,9.0,13.89,5.28
1154,Sewnarine Chattergoon,125,155,1.0,125.0,4.84
1235,Steven Davies,125,133,6.0,20.83,5.64
615,Jonathan Carter,124,158,8.0,15.5,4.71
361,Dunith Wellalage,124,150,6.0,20.67,4.96
358,Doug Bracewell,124,111,4.0,31.0,6.7
412,Gareth Delany,123,101,5.0,24.6,7.31
906,Nathan Coulter-Nile,123,103,5.0,24.6,7.17
203,Brydon Carse,122,121,4.0,30.5,6.05
278,Daan van Bunge,120,100,4.0,30.0,7.2
667,Kemar Roach,120,191,8.0,15.0,3.77
22,Abid Ali,119,103,2.0,59.5,6.93
691,Kirk Edwards,119,137,2.0,59.5,5.21
83,Andre Fletcher,117,125,4.0,29.25,5.62
153,Babar Hayat,116,96,4.0,29.0,7.25
26,Adam Milne,116,120,9.0,12.89,5.8
1137,Saud Shakeel,116,110,3.0,38.67,6.33
826,Milinda Siriwardana,115,106,7.0,16.43,6.51
522,Irfan Karim,115,152,2.0,57.5,4.54
1282,Tanzid Hasan,114,97,3.0,38.0,7.05
607,John Campbell,114,86,1.0,114.0,7.95
1024,Rakep Patel,113,107,4.0,28.25,6.34
454,Gulsan Jha,112,109,3.0,37.33,6.17
82,Andre Botha,111,133,2.0,55.5,5.01
1255,Sunil Dhaniram,111,127,5.0,22.2,5.24
561,Jan Nicol Loftie-Eaton,111,118,3.0,37.0,5.64
897,Naseem Khushi,110,69,6.0,18.33,9.57
1066,Rizwan Cheema,110,109,7.0,15.71,6.06
189,Brad Hogg,109,120,7.0,15.57,5.45
18,Abdur Razzak,109,99,5.0,21.8,6.61
204,CP Rizwan,108,176,6.0,18.0,3.68
385,Fabian Allen,108,61,4.0,27.0,10.62
1127,Sandeep Goud,108,93,5.0,21.6,6.97
592,Jerome Taylor,108,89,12.0,9.0,7.28
686,Khushdil Shah,108,92,3.0,36.0,7.04
901,Nasir Jamal,108,133,2.0,54.0,4.87
342,Dimitri Mascarenhas,107,68,4.0,26.75,9.44
32,Adnan Mufti,107,96,2.0,53.5,6.69
457,Gyanendra Malla,107,116,6.0,17.83,5.53
440,Graeme Cremer,107,116,11.0,9.73,5.53
1259,Suranga Lakmal,106,155,8.0,13.25,4.1
690,Kiplin Doriga,106,132,3.0,35.33,4.82
665,Keemo Paul,105,92,6.0,17.5,6.85
1061,Riley Hekure,105,118,2.0,52.5,5.34
52,Akila Dananjaya,105,135,10.0,10.5,4.67
428,George Worker,105,145,,,4.34
110,Anwar Ali,105,74,2.0,52.5,8.51
364,Dwaine Pretorius,104,83,5.0,20.8,7.52
327,Dev Khanal,104,118,3.0,34.67,5.29
1302,Thomas Odoyo,104,104,5.0,20.8,6.0
41,Ahmed Raza,103,138,4.0,25.75,4.48
531,JJ Smuts,103,113,2.0,51.5,5.47
1147,Sean Abbott,102,95,8.0,12.75,6.44
356,Donald Tiripano,102,71,3.0,34.0,8.62
865,Mohammed Shami,102,99,11.0,9.27,6.18
936,Nisarg Patel,102,87,4.0,25.5,7.03
497,Hiri Hiri,101,122,3.0,33.67,4.97
869,Mominul Haque,101,111,5.0,20.2,5.46
