,bowler,runs_conceded,balls_bowled,wickets,bowl_avg,balls_per_wicket,false_shot%,econ,%career_balls
762,Andy McKay,47,22,1,47.0,22.0,4.55,12.82,2.36
763,Nazmul Islam,15,7,1,15.0,7.0,14.29,12.86,2.65
764,Rohit Sharma,13,6,0,inf,inf,16.67,13.0,1.0
765,John Campbell,13,6,0,inf,inf,0.0,13.0,100.0
766,Salman Butt,13,6,0,inf,inf,16.67,13.0,8.33
767,Carl Mumba,37,17,3,12.33,5.67,29.41,13.06,6.2
768,Josh Clarkson,11,5,1,11.0,5.0,20.0,13.2,6.94
769,Junior Dala,42,19,0,inf,inf,47.37,13.26,18.45
770,Chris Tremlett,40,18,0,inf,inf,16.67,13.33,2.26
771,Matt Machan,49,22,1,49.0,22.0,9.09,13.36,5.47
772,Sanchit Sharma,38,17,0,inf,inf,0.0,13.41,4.97
773,Afzaal Haider,56,25,1,56.0,25.0,24.0,13.44,32.05
774,Roy Lamsam,27,12,0,inf,inf,0.0,13.5,100.0
775,Matthew Forde,70,31,0,inf,inf,19.35,13.55,22.46
776,Navdeep Saini,68,30,1,68.0,30.0,36.67,13.6,7.08
777,Tino Best,50,22,1,50.0,22.0,54.55,13.64,2.08
778,Shaminda Eranga,82,36,0,inf,inf,30.56,13.67,5.01
779,Ryan ten Doeschate,57,25,0,inf,inf,16.0,13.68,2.17
780,Edgar Schiferli,32,14,0,inf,inf,0.0,13.71,2.62
781,Gavin Main,39,17,0,inf,inf,5.88,13.76,2.62
782,Jasdeep Singh,62,27,1,62.0,27.0,37.04,13.78,2.48
783,Ihsanullah,14,6,0,inf,inf,0.0,14.0,12.5
784,Abhimanyu Mithun,14,6,0,inf,inf,0.0,14.0,3.33
785,Keith Dabengwa,14,6,0,inf,inf,33.33,14.0,0.64
786,Balaji Rao,21,9,0,inf,inf,0.0,14.0,1.95
787,Henry Shipley,26,11,0,inf,inf,27.27,14.18,2.84
788,Krunal Pandya,71,30,0,inf,inf,16.67,14.2,13.16
789,Kyle Coetzer,31,13,0,inf,inf,7.69,14.31,4.71
790,Andrew Mathieson,24,10,0,inf,inf,10.0,14.4,41.67
791,Dilhara Lokuhettige,41,17,1,41.0,17.0,11.76,14.47,5.04
792,Mukesh Kumar,29,12,0,inf,inf,25.0,14.5,5.02
793,Lendl Simmons,29,12,0,inf,inf,16.67,14.5,7.59
794,Billy Stelling,29,12,0,inf,inf,8.33,14.5,3.7
795,Shane Snater,66,27,0,inf,inf,22.22,14.67,17.88
796,Ammar Khalid,10,4,0,inf,inf,0.0,15.0,2.01
797,Harsh Thaker,15,6,0,inf,inf,0.0,15.0,1.01
798,Ryan Steede,20,8,0,inf,inf,0.0,15.0,9.2
799,Zawar Farid,10,4,0,inf,inf,0.0,15.0,1.99
800,Stuart Whittingham,30,12,0,inf,inf,0.0,15.0,4.71
801,Rory Kleinveldt,10,4,0,inf,inf,0.0,15.0,0.78
802,Riley Hekure,15,6,0,inf,inf,0.0,15.0,0.63
803,Steve Tikolo,5,2,0,inf,inf,0.0,15.0,0.14
804,Dwayne Smith,68,27,0,inf,inf,29.63,15.11,1.13
805,Neville Madziva,28,11,0,inf,inf,0.0,15.27,2.1
806,Avesh Khan,18,7,0,inf,inf,42.86,15.43,1.96
807,Jason Gillespie,13,5,0,inf,inf,20.0,15.6,0.53
808,Kavem Hodge,13,5,0,inf,inf,20.0,15.6,4.63
809,Karl Birkenstock,26,10,0,inf,inf,0.0,15.6,4.08
810,Luuk van Troost,47,18,1,47.0,18.0,16.67,15.67,33.33
811,Tanvir Ahmed,8,3,0,inf,inf,0.0,16.0,4.84
812,Tangeni Lungameni,8,3,0,inf,inf,0.0,16.0,0.28
813,Siddarth Kaul,24,9,0,inf,inf,0.0,16.0,5.56
814,Usman Rafiq,16,6,0,inf,inf,0.0,16.0,18.75
815,Bikram Sob,19,7,0,inf,inf,0.0,16.29,5.51
816,Sohail Khan,11,4,0,inf,inf,25.0,16.5,0.6
817,Najaf Shah,11,4,0,inf,inf,0.0,16.5,6.56
818,Elmore Hutchinson,11,4,0,inf,inf,0.0,16.5,1.28
819,Khushdil Shah,11,4,0,inf,inf,0.0,16.5,3.7
820,Nasir Aziz,25,9,0,inf,inf,0.0,16.67,4.17
821,Aizaz Cheema,42,15,0,inf,inf,26.67,16.8,2.28
822,Saqib Zulfiqar,17,6,0,inf,inf,0.0,17.0,1.92
823,Yamin Ahmadzai,17,6,0,inf,inf,0.0,17.0,1.76
824,David Hemp,17,6,0,inf,inf,16.67,17.0,9.84
825,Deepak Chahar,23,8,0,inf,inf,12.5,17.25,1.56
826,Neil Carter,6,2,0,inf,inf,0.0,18.0,1.14
827,Ben Shikongo,33,11,0,inf,inf,0.0,18.0,1.9
828,Zahid Shah,18,6,0,inf,inf,16.67,18.0,5.0
829,Aqib Ilyas,18,6,0,inf,inf,16.67,18.0,0.78
830,Najmul Hossain Shanto,9,3,0,inf,inf,0.0,18.0,3.75
831,Moneeb Iqbal,3,1,0,inf,inf,0.0,18.0,0.37
832,Bernard Loots,28,9,0,inf,inf,11.11,18.67,3.2
833,Dawlat Ahmadzai,19,6,0,inf,inf,0.0,19.0,5.31
834,Harishankar Shah,10,3,0,inf,inf,0.0,20.0,5.0
835,Jonathan Trott,8,2,0,inf,inf,0.0,24.0,1.09
836,Azhar Mahmood,4,1,0,inf,inf,0.0,24.0,0.37
837,Keegan Meth,12,3,0,inf,inf,0.0,24.0,0.77
838,Lalit Bhandari,8,2,0,inf,inf,0.0,24.0,3.7
839,Alfred Luseno,4,1,0,inf,inf,0.0,24.0,0.74
840,Cameron Stevenson,4,1,0,inf,inf,0.0,24.0,0.14
841,Izatullah Dawlatzai,4,1,0,inf,inf,0.0,24.0,0.48
842,Jason Kila,29,7,0,inf,inf,0.0,24.86,3.02
843,Kevin Pietersen,13,3,0,inf,inf,33.33,26.0,0.77
844,Imran Haider,5,1,1,5.0,1.0,0.0,30.0,0.11
845,Luke Wright,10,2,0,inf,inf,0.0,30.0,0.19
846,Harrison Carlyon,5,1,0,inf,inf,0.0,30.0,0.56
847,Yasir Arafat,6,1,0,inf,inf,0.0,36.0,0.29
848,Afif Hossain,6,1,0,inf,inf,0.0,36.0,1.06
849,Daan van Bunge,6,1,0,inf,inf,0.0,36.0,0.39
850,Mohammad Nadeem,7,1,0,inf,inf,0.0,42.0,0.12
851,Pipi Raho,1,0,0,inf,,,inf,0.0
852,Mahela Jayawardene,2,0,0,inf,,inf,inf,0.0
