,bowler,runs_conceded,balls_bowled,wickets,bowl_avg,balls_per_wicket,false_shot%,econ,%career_balls
412,Nazmul Hossain,121,84,4,30.25,21.0,13.1,8.64,6.09
413,Sanath Jayasuriya,154,107,0,inf,inf,19.63,8.64,3.99
414,Akila Dananjaya,205,142,5,41.0,28.4,16.9,8.66,7.12
415,Mohammed Siraj,153,106,2,76.5,53.0,22.64,8.66,5.81
416,Andrew Tye,117,81,0,inf,inf,20.99,8.67,20.82
417,Dipendra Singh Airee,26,18,2,13.0,9.0,5.56,8.67,0.92
418,James Faulkner,156,108,2,78.0,54.0,20.37,8.67,3.36
419,Nizakat Khan,13,9,0,inf,inf,0.0,8.67,6.29
420,Kyle Jamieson,68,47,0,inf,inf,19.15,8.68,7.73
421,Paul Stirling,55,38,0,inf,inf,10.53,8.68,1.55
422,Tillakaratne Dilshan,175,121,2,87.5,60.5,13.22,8.68,2.31
423,Rachin Ravindra,142,98,0,inf,inf,9.18,8.69,11.72
424,Wahab Riaz,274,189,4,68.5,47.25,34.39,8.7,4.33
425,Daryl Tuffey,138,95,1,138.0,95.0,16.84,8.72,9.61
426,Paul van Meekeren,218,150,5,43.6,30.0,18.0,8.72,14.55
427,Gus Atkinson,32,22,2,16.0,11.0,31.82,8.73,5.74
428,Muhammad Jawadullah,32,22,1,32.0,22.0,27.27,8.73,9.87
429,Alei Nao,32,22,0,inf,inf,0.0,8.73,2.0
430,Andrew Symonds,105,72,2,52.5,36.0,6.94,8.75,2.87
431,Farhaan Behardien,54,37,1,54.0,37.0,18.92,8.76,4.94
432,Michael Bracewell,76,52,1,76.0,52.0,15.38,8.77,7.05
433,Ajmal Shahzad,19,13,1,19.0,13.0,61.54,8.77,2.22
434,Liam Livingstone,22,15,0,inf,inf,13.33,8.8,2.65
435,Glenn Rogers,47,32,1,47.0,32.0,12.5,8.81,10.36
436,Andre Nel,72,49,2,36.0,24.5,20.41,8.82,1.79
437,Nathan McCullum,184,125,5,36.8,25.0,12.8,8.83,3.53
438,Naved-ul-Hasan,227,154,5,45.4,30.8,19.48,8.84,5.37
439,Mark Adair,239,162,2,119.5,81.0,22.22,8.85,7.47
440,Ed Rainsford,142,96,3,47.33,32.0,15.62,8.88,6.88
441,Daren Sammy,111,75,0,inf,inf,10.67,8.88,1.53
442,Shardul Thakur,197,133,8,24.62,16.62,26.32,8.89,6.8
443,Spencer Johnson,46,31,0,inf,inf,6.45,8.9,63.27
444,Gulbadin Naib,113,76,3,37.67,25.33,11.84,8.92,2.69
445,Wellington Masakadza,76,51,1,76.0,51.0,15.69,8.94,3.29
446,Khaleel Ahmed,79,53,1,79.0,53.0,18.87,8.94,10.97
447,Nuwan Kulasekara,799,536,12,66.58,44.67,20.52,8.94,6.67
448,Johan van der Wath,76,51,1,76.0,51.0,15.69,8.94,9.59
449,Marcus Stoinis,222,149,1,222.0,149.0,10.74,8.94,7.24
450,Ryan Harris,91,61,2,45.5,30.5,19.67,8.95,5.9
451,Axar Patel,97,65,1,97.0,65.0,12.31,8.95,2.49
452,Tim Bresnan,185,124,4,46.25,31.0,19.35,8.95,2.93
453,Chris Sole,200,134,6,33.33,22.33,6.72,8.96,8.98
454,Alzarri Joseph,430,287,11,39.09,26.09,19.51,8.99,8.25
455,James Franklin,165,110,2,82.5,55.0,20.91,9.0,4.22
456,Saqib Ali,27,18,0,inf,inf,5.56,9.0,30.0
457,Durand Soraine,3,2,0,inf,inf,0.0,9.0,1.77
458,Pramod Madushan,30,20,0,inf,inf,30.0,9.0,5.49
459,Hamish Bennett,63,42,3,21.0,14.0,21.43,9.0,4.69
460,Ramesh Powar,18,12,0,inf,inf,8.33,9.0,0.8
461,Wessly Madhevere,9,6,0,inf,inf,0.0,9.0,0.74
462,Ehsan Adil,15,10,0,inf,inf,40.0,9.0,4.42
463,Kyle Abbott,78,52,2,39.0,26.0,28.85,9.0,3.97
464,Raza Hasan,6,4,0,inf,inf,25.0,9.0,6.67
465,Michael Rippon,9,6,0,inf,inf,0.0,9.0,1.49
466,Lance Morris,6,4,0,inf,inf,25.0,9.0,4.55
467,Roger Whelan,24,16,1,24.0,16.0,31.25,9.0,17.78
468,Mohammad Abbas,9,6,0,inf,inf,0.0,9.0,3.7
469,Jeevan Mendis,48,32,0,inf,inf,21.88,9.0,2.28
470,Mudassar Bukhari,205,136,5,41.0,27.2,5.88,9.04,7.73
471,Mohammad Hasnain,101,67,2,50.5,33.5,19.4,9.04,14.44
472,Mitchell Starc,612,406,8,76.5,50.75,24.63,9.04,6.49
473,Mitchell Johnson,352,233,8,44.0,29.12,27.04,9.06,3.1
474,Chris Mpofu,314,208,2,157.0,104.0,14.42,9.06,5.78
475,Dushmantha Chameera,302,200,6,50.33,33.33,26.5,9.06,9.22
476,Daniel Worrall,115,76,0,inf,inf,22.37,9.08,48.1
477,Norman Vanua,115,76,4,28.75,19.0,10.53,9.08,3.17
478,Mirwais Ashraf,91,60,1,91.0,60.0,0.0,9.1,3.07
479,Jesse Ryder,44,29,0,inf,inf,27.59,9.1,7.07
480,Adam Milne,120,79,1,120.0,79.0,15.19,9.11,3.52
481,Usama Mir,82,54,1,82.0,54.0,16.67,9.11,8.45
482,Peter Chase,129,85,1,129.0,85.0,0.0,9.11,6.81
483,Steve Harmison,266,175,3,88.67,58.33,21.71,9.12,9.96
484,Alasdair Evans,193,127,3,64.33,42.33,6.3,9.12,6.6
485,Seekkuge Prasanna,108,71,0,inf,inf,15.49,9.13,3.65
486,Wayne Parnell,332,218,7,47.43,31.14,24.77,9.14,6.73
487,Mehidy Hasan Miraz,227,149,3,75.67,49.67,14.77,9.14,3.24
488,Fawad Alam,64,42,0,inf,inf,26.19,9.14,10.55
489,Jacques Kallis,139,91,1,139.0,91.0,8.79,9.16,2.77
490,Ashish Nehra,403,264,6,67.17,44.0,26.14,9.16,8.72
491,Jayden Seales,55,36,0,inf,inf,8.33,9.17,8.18
492,Mohammad Irfan,176,115,3,58.67,38.33,28.7,9.18,3.69
493,Sunil Dhaniram,26,17,2,13.0,8.5,0.0,9.18,1.45
494,Matt Henry,467,305,7,66.71,43.57,23.28,9.19,7.11
495,Lakshan Sandakan,118,77,2,59.0,38.5,18.18,9.19,5.15
496,James Anderson,628,410,6,104.67,68.33,21.95,9.19,5.33
497,Stuart Broad,328,214,7,46.86,30.57,20.09,9.2,3.49
498,John Blain,69,45,0,inf,inf,8.89,9.2,6.54
499,Kevin Hurdle,86,56,2,43.0,28.0,7.14,9.21,11.91
500,Sohrawordi Shuvo,86,56,1,86.0,56.0,5.36,9.21,7.32
501,Michael Mason,103,67,1,103.0,67.0,25.37,9.22,7.81
502,Shaheen Shah Afridi,495,322,12,41.25,26.83,25.16,9.22,11.92
503,Usman Shinwari,40,26,1,40.0,26.0,30.77,9.23,3.37
504,Aamer Yamin,20,13,0,inf,inf,7.69,9.23,8.28
505,RP Singh,223,145,4,55.75,36.25,23.45,9.23,5.63
506,Corey Anderson,97,63,2,48.5,31.5,22.22,9.24,4.24
507,Roston Chase,134,87,3,44.67,29.0,10.34,9.24,5.59
508,Tawanda Mupariwa,68,44,0,inf,inf,20.45,9.27,2.81
509,Josh Little,343,222,7,49.0,31.71,25.23,9.27,12.74
510,Suranga Lakmal,425,275,9,47.22,30.56,25.09,9.27,7.07
511,Hardik Pandya,150,97,1,150.0,97.0,25.77,9.28,3.02
512,Cameron Green,124,80,1,124.0,80.0,17.5,9.3,10.57
513,Uday Bhagwan,45,29,0,inf,inf,0.0,9.31,19.73
514,Ebadot Hossain,59,38,2,29.5,19.0,26.32,9.32,7.01
515,Umar Bhatti,56,36,1,56.0,36.0,2.78,9.33,2.87
516,Arshdeep Singh,14,9,1,14.0,9.0,33.33,9.33,3.72
517,Ravi Rampaul,285,183,3,95.0,61.0,20.77,9.34,5.32
518,Elijah Otieno,92,59,1,92.0,59.0,15.25,9.36,6.22
519,Junaid Siddique,167,107,0,inf,inf,7.48,9.36,5.02
