,bat,innings,entry,arrive_fow,exit,exit_fow,added
1080,Nasir Jamal,14,66.0,2.3768115942028984,137.0,3.983695652173913,71.0
1081,Nasir Jamshed,48,3.0,0.15595854922279792,113.0,2.317098445595855,110.0
1082,Nasum Ahmed,9,171.0,6.106741573033708,215.0,8.191011235955056,44.0
1083,Nathan Astle,33,18.0,0.47650562541363334,155.0,3.5367306419589677,137.0
1084,Nathan Bracken,33,185.0,7.694852941176471,206.0,8.580882352941176,21.0
1085,Nathan Coulter-Nile,20,168.0,6.745454545454545,228.0,8.545454545454545,59.0
1086,Nathan Ellis,7,226.0,7.084745762711864,250.0,8.559322033898304,24.0
1087,Nathan Hauritz,27,198.0,6.868338557993731,235.0,8.078369905956112,37.0
1088,Nathan Lyon,13,177.0,8.216867469879517,201.0,9.27710843373494,24.0
1089,Nathan McCullum,62,142.0,5.946271050521251,202.0,7.678428227746592,60.0
1090,Natsai M'shangwe,5,184.0,7.304347826086956,202.0,8.608695652173912,18.0
1091,Naumanullah,1,315.0,7.0,323.0,9.0,8.0
1092,Navdeep Poonia,13,28.0,1.0083333333333333,71.0,2.7333333333333334,43.0
1093,Navdeep Saini,5,206.0,7.0212765957446805,259.0,8.326241134751774,52.0
1094,Naved-ul-Hasan,42,171.0,7.0338078291814945,208.0,8.323843416370106,37.0
1095,Naveed Zadran,1,223.0,9.0,236.0,9.0,13.0
1096,Naveen-ul-Haq,10,219.0,8.574074074074074,226.0,9.12962962962963,8.0
1097,Navneet Dhaliwal,7,31.0,0.6952789699570815,98.0,2.927038626609442,68.0
1098,Nawroz Mangal,47,41.0,1.2218543046357615,127.0,3.799337748344371,85.0
1099,Nazimuddin,11,6.0,0.23577235772357724,57.0,1.7357723577235773,51.0
1100,Nazmul Hossain,13,167.0,8.728395061728396,180.0,9.320987654320987,13.0
1101,Nazmul Islam,1,196.0,7.0,213.0,8.0,17.0
1102,Nehemiah Odhiambo,41,122.0,6.3766891891891895,157.0,7.974662162162162,35.0
1103,Neil Broom,39,95.0,2.7993254637436764,198.0,5.159359190556493,103.0
