,bat,runs,balls,dismissals,avg,rpo
484,Hussain Butt,8,28,2.0,4.0,1.71
575,Jermaine Lawson,8,8,1.0,8.0,6.0
437,Greg Lamb,8,11,2.0,4.0,4.36
1355,Waqas Khan,8,18,1.0,8.0,2.67
1054,Ross Lyons,8,15,1.0,8.0,3.2
1249,Tafadzwa Mufambisi,8,19,1.0,8.0,2.53
501,Imran Farhat,8,11,,,4.36
810,Minod Bhanuka,8,14,1.0,8.0,3.43
531,Jake Dunford,8,20,2.0,4.0,2.4
393,Fiqre Crockwell,8,7,,,6.86
1099,Sami Aslam,8,13,1.0,8.0,3.69
903,Nazmul Hossain,8,33,2.0,4.0,1.45
41,Aizaz Cheema,7,12,2.0,3.5,3.5
470,Hayden Walsh,7,24,4.0,1.75,1.75
477,Henry Shipley,7,9,2.0,3.5,4.67
450,Hamish Bennett,7,28,2.0,3.5,1.5
1132,Shadeep Silva,7,13,1.0,7.0,3.23
1390,Zeeshan Siddiqi,7,21,1.0,7.0,2.0
1130,Shabir Noori,7,13,1.0,7.0,3.23
415,George Codrington,7,8,,,5.25
1362,Wiaan Mulder,7,15,3.0,2.33,2.8
846,Mohammed Siraj,7,26,2.0,3.5,1.62
175,Bilal Khan,7,33,3.0,2.33,1.27
822,Mohammad Asif,7,48,3.0,2.33,0.88
651,Kevin Hurdle,7,11,1.0,7.0,3.82
19,Abinash Bohara,7,7,,,6.0
702,Lakshmipathy Balaji,7,10,1.0,7.0,4.2
963,Peter McGlashan,7,9,1.0,7.0,4.67
244,Chris Sole,7,10,1.0,7.0,4.2
623,Kaleem Sana,7,24,,,1.75
616,Junior Dala,7,5,1.0,7.0,8.4
954,Pawan Sarraf,7,10,1.0,7.0,4.2
1347,Vishwa Fernando,7,10,1.0,7.0,4.2
801,Michael Swart,7,11,3.0,2.33,3.82
181,Blair Tickner,7,14,1.0,7.0,3.0
49,Akshay Homraj,7,11,1.0,7.0,3.82
94,Andri Berenger,7,34,2.0,3.5,1.24
533,James Cameron-Dow,7,10,,,4.2
784,Maurits Jonkman,7,14,1.0,7.0,3.0
390,Fazalhaq Farooqi,7,19,2.0,3.5,2.21
927,Noor Ali Zadran,7,19,2.0,3.5,2.21
105,Anthony Hawkins-Kay,7,15,1.0,7.0,2.8
168,Bernard Loots,6,8,2.0,3.0,4.5
1316,Tristan Stubbs,6,10,1.0,6.0,3.6
883,Naseem Shah,6,6,,,6.0
388,Fayyaz Ahmed,6,6,1.0,6.0,6.0
858,Mosharraf Hossain,6,13,,,2.77
780,Matthew Parker,6,11,1.0,6.0,3.27
273,Craig Wright,6,26,2.0,3.0,1.38
1165,Shaun Fouché,6,11,1.0,6.0,3.27
486,Iain Wardlaw,6,12,1.0,6.0,3.0
1332,Usman Shinwari,6,5,2.0,3.0,7.2
917,Nikhil Dutta,6,31,1.0,6.0,1.16
958,Peter Connell,6,22,1.0,6.0,1.64
727,Lovepreet Singh,6,20,1.0,6.0,1.8
943,Parth Desai,6,29,2.0,3.0,1.24
937,Oliver Pitcher,6,34,2.0,3.0,1.06
1117,Scott Boland,6,16,2.0,3.0,2.25
528,Jahmar Hamilton,5,16,1.0,5.0,1.88
748,Malinda Warnapura,5,14,1.0,5.0,2.14
1205,Stephan Baard,5,12,1.0,5.0,2.5
771,Matheesha Pathirana,5,16,1.0,5.0,1.88
806,Michau du Preez,5,12,1.0,5.0,2.5
505,Indika Batuwitarachchi,5,16,2.0,2.5,1.88
1082,Sabir Ali,5,6,1.0,5.0,5.0
159,Ben Foakes,5,2,,,15.0
1239,Sushan Bhari,5,8,1.0,5.0,3.75
734,Luuk van Troost,5,13,1.0,5.0,2.31
364,Edgar Schiferli,5,9,2.0,2.5,3.33
74,Amir Hayat,5,23,1.0,5.0,1.3
401,Gareth Batty,5,6,1.0,5.0,5.0
1138,Shahid Wasif,5,10,1.0,5.0,3.0
923,Nizel Fernandes,5,13,1.0,5.0,2.31
752,Mansoor Amjad,5,10,1.0,5.0,3.0
1304,Tom Sole,5,3,1.0,5.0,10.0
908,Neil Rock,5,9,1.0,5.0,3.33
334,Dilon Heyliger,5,5,1.0,5.0,6.0
861,Muhammad Musa,5,2,,,15.0
1148,Shamim Hossain,5,10,1.0,5.0,3.0
689,Kyle Hope,5,6,2.0,2.5,5.0
998,Rahul Jariwala,5,13,1.0,5.0,2.31
855,Morne van Wyk,5,5,1.0,5.0,6.0
444,Gurkeerat Singh Mann,5,6,1.0,5.0,5.0
72,Amila Aponso,4,31,1.0,4.0,0.77
519,JP Kotze,4,10,,,2.4
1106,Sandeep Lamichhane,4,11,5.0,0.8,2.18
686,Kyle Abbott,4,10,1.0,4.0,2.4
1365,Willie Gavera,4,6,,,4.0
594,John Kariko,4,8,2.0,2.0,3.0
826,Mohammad Iqbal,4,9,,,2.67
1098,Sam Heazlett,4,11,1.0,4.0,2.18
715,Liam Roche,4,9,1.0,4.0,2.67
733,Lutho Sipamla,4,5,,,4.8
1010,Ravi Bishnoi,4,2,,,12.0
938,Olly Stone,4,4,1.0,4.0,6.0
1274,Theo van Woerkom,4,8,,,3.0
243,Chris Read,4,7,1.0,4.0,3.43
971,Piet Rinke,4,6,2.0,2.0,4.0
251,Clayton Floyd,4,10,2.0,2.0,2.4
479,Hila Vare,4,8,1.0,4.0,3.0
1335,Vaughn van Jaarsveld,4,7,1.0,4.0,3.43
754,Marc Petrie,4,18,3.0,1.33,1.33
73,Amir Hamza,4,26,2.0,2.0,0.92
158,Ben Duckett,4,5,,,4.8
1156,Shane Snater,4,3,1.0,4.0,8.0
762,Mark Jonkman,4,7,1.0,4.0,3.43
426,Glenn McGrath,3,9,1.0,3.0,2.0
659,Khaleel Ahmed,3,11,1.0,3.0,1.64
1325,Upul Chandana,3,7,1.0,3.0,2.57
655,Kevin Sinclair,3,4,,,4.5
576,Jeroen Smits,3,13,2.0,1.5,1.38
1146,Shakti Gauchan,3,7,,,2.57
248,Christopher Carter,3,11,1.0,3.0,1.64
202,Brian Chari,3,9,2.0,1.5,2.0
598,John Simpson,3,12,1.0,3.0,1.5
654,Kevin Sandher,3,15,2.0,1.5,1.2
697,Lahiru Gamage,3,14,1.0,3.0,1.29
1348,Vivian Kingma,3,19,6.0,0.5,0.95
485,Iain O'Brien,3,11,,,1.64
985,Qadeer Ahmed,3,18,1.0,3.0,1.0
1372,Yasir Mohammad,3,6,1.0,3.0,3.0
864,Muhammad Zuhaib,3,5,1.0,3.0,3.6
1264,Tarun Nethula,3,3,1.0,3.0,6.0
368,Eion Katchay,3,8,1.0,3.0,2.25
781,Matthew Potts,3,4,,,4.5
1028,Reon King,3,10,,,1.8
1160,Sharad Vesawkar,3,7,1.0,3.0,2.57
1225,Stuart Whittingham,3,3,,,6.0
1204,Stefan Kelly,3,12,,,1.5
538,James McCollum,3,16,1.0,3.0,1.12
193,Brandon Glover,3,7,1.0,3.0,2.57
799,Michael Neser,3,13,2.0,1.5,1.38
156,Basir Ahamad,3,9,1.0,3.0,2.0
1368,Yamin Ahmadzai,3,7,,,2.57
63,Ali Khan,3,3,,,6.0
376,Ethan D'Souza,3,14,1.0,3.0,1.29
129,Ashok Dinda,3,6,2.0,1.5,3.0
